"","Point","Strike","BlackVol"
"1","3M10Y",0.0266,0.4084
"2","3M10Y",0.01,0.7376
"3","3M10Y",0.015,0.5685
"4","3M10Y",0.02,0.4668
"5","3M10Y",0.025,0.4154
"6","3M10Y",0.03,0.4048
"7","3M10Y",0.035,0.4161
"8","3M10Y",0.04,0.4347
"9","3M10Y",0.05,0.4734
"10","3M10Y",0.06,0.5072
"11","3M10Y",0.07,0.5358
"12","3M10Y",0.08,0.5602
"13","3M10Y",0.09,0.5813
"14","3M10Y",0.1,0.5998
"15","5Y10Y",0.027,0.3233
"16","5Y10Y",0.01,0.5187
"17","5Y10Y",0.015,0.4249
"18","5Y10Y",0.02,0.3696
"19","5Y10Y",0.025,0.3344
"20","5Y10Y",0.03,0.3115
"21","5Y10Y",0.035,0.2967
"22","5Y10Y",0.04,0.2873
"23","5Y10Y",0.05,0.2781
"24","5Y10Y",0.06,0.2754
"25","5Y10Y",0.07,0.2757
"26","5Y10Y",0.08,0.2774
"27","5Y10Y",0.09,0.2796
"28","5Y10Y",0.1,0.2821
"29","5Y5Y",0.0263,0.3735
"30","5Y5Y",0.01,0.5933
"31","5Y5Y",0.015,0.4856
"32","5Y5Y",0.02,0.4225
"33","5Y5Y",0.025,0.3819
"34","5Y5Y",0.03,0.3546
"35","5Y5Y",0.035,0.3361
"36","5Y5Y",0.04,0.3235
"37","5Y5Y",0.05,0.3091
"38","5Y5Y",0.06,0.3027
"39","5Y5Y",0.07,0.3003
"40","5Y5Y",0.08,0.2999
"41","5Y5Y",0.09,0.3006
"42","5Y5Y",0.1,0.3019
"43","6M1Y",0.0299,0.4243
"44","6M1Y",0.01,0.7613
"45","6M1Y",0.015,0.6082
"46","6M1Y",0.02,0.5143
"47","6M1Y",0.025,0.4562
"48","6M1Y",0.03,0.4241
"49","6M1Y",0.035,0.4104
"50","6M1Y",0.04,0.4081
"51","6M1Y",0.05,0.4182
"52","6M1Y",0.06,0.4338
"53","6M1Y",0.07,0.4495
"54","6M1Y",0.08,0.4639
"55","6M1Y",0.09,0.477
"56","6M1Y",0.1,0.4887
